experiment_setup,dataset_name,model_name,seen_test_day_average,unseen_test_day_average,mean_test_day_average
NoLM-CER,nlp21,META,0.17876802096985583,0.5196007112835435,0.4740712209811268
NoLM-CER,nlp10,META,0.16966580976863754,0.38324318701893073,0.36362348273744866
NoLM-PER,speech,META,0.34733615046814154,0.6006413418845584,0.4744748462713054
NoLM-PER,nejm,META,0.15347153668970057,0.6339443462897526,0.41474765064400876
