experiment_setup,dataset_name,model_name,seen_test_day_average,unseen_test_day_average,mean_test_day_average
NoLM-CER,NLP21,META,0.17876802096985583,0.5183882961526026,0.47302076403235405
NoLM-CER,NLP10,META,0.17069408740359898,0.3858955689619305,0.3661266707599301
NoLM-PER,SPEECH24,META,0.34808186262324964,0.5985857589212301,0.4738145350996657
NoLM-PER,SPEECH45,META,0.1527476143468246,0.6263250883392226,0.41027411655207613
