experiment_setup,dataset_name,model_name,seen_test_day_average,unseen_test_day_average,mean_test_day_average
NoLM-CER,nlp21,META,0.18427260812581914,0.5207322987390882,0.4757869673307889
NoLM-CER,nlp10,META,0.16709511568123395,0.3889120033284793,0.3685353988570349
NoLM-PER,speech,META,0.585300800158056,0.6768023540951447,0.6006413418845584
NoLM-PER,nejm,META,0.15347153668970057,0.633833922261484,0.41468760320653314
