experiment_setup,dataset_name,model_name,seen_test_day_average,unseen_test_day_average,mean_test_day_average
NoLM-CER,nlp21,META,0.1858453473132372,0.5165292596184934,0.4723554746314647
NoLM-CER,nlp10,META,0.1640102827763496,0.3856355315165384,0.36527653143154015
NoLM-PER,speech,META,0.34733615046814154,0.6006413418845584,0.4744748462713054
NoLM-PER,nejm,META,0.15531424810793024,0.627594964664311,0.4121355871138199
